M_e = 0.16374999999999998; disp = 0.007356250000000002
M_e = 0.16275; disp = 0.007332916666666668
M_e = 0.13724999999999998; disp = 0.002232916666666667
M_e = 0.173; disp = 0.006940000000000002
M_e = 0.18825; disp = 0.003762916666666668
M_e = 0.4375; disp = 0.0005910000000000011
M_e = 0.458; disp = 0.0012060000000000005
M_e = 0.44825; disp = 0.001612250000000001
M_e = 0.4475; disp = 0.001591000000000001
M_e = 0.45875; disp = 0.0011222500000000006
M_e = 0.11875000000000001; disp = 0.0018069166666666667
M_e = 0.1205; disp = 0.0020349999999999995
M_e = 0.1345; disp = 0.0023896666666666667
M_e = 0.12774999999999997; disp = 0.0025449166666666662
M_e = 0.1455; disp = 0.0008349999999999997
M_e = 0.12725; disp = 0.00261025
M_e = 0.12125000000000001; disp = 0.00175025
M_e = 0.13624999999999998; disp = 0.0030002500000000007
M_e = 0.13774999999999998; disp = 0.0029602499999999998
M_e = 0.1525; disp = 0.0009689999999999999
